"Payment via Sitef Pinpad - Gamuza Technologies","Pagamento via Sitef Pinpad - Gamuza Technologies"
"Manage Pinpad Transactions","Gerenciar Transações Pinpad"
"Pinpad Transactions Manager","Gerenciador de Transações Pinpad"
"Order Inc. ID","ID Inc. Pedido"
"Merchant","Comerciante"
"Confirmation","Confirmação"
"None","Nenhum"
"Bank Check","Cheque"
"Debit Card","Cartão de Débito"
"Digital Wallet","Carteira Digital"
"Pending Transaction","Transação Pendente"
"Transaction","Transação"
"Voucher Card","Cartão Voucher"
"Loyalty Card","Cartão Fidelidade"
"Cash Money","Dinheiro Vivo"
"Other Card","Outro Cartão"
"Cash Down","À Vista"
"Predated","Pré-datado"
"Installment Store","Parcelamento Loja"
"Installment Issuer","Parcelamento Emissor"
"Cash Down Interest","À Vista Com Juros"
"Store Credit","Crediário"
"Other Type","Outro Tipo"
"Receipt","Recibo"
"Purchase","Compra"
"Managerial","Gerencial"
"Mobile Recharge","Recarga Celular"
"Bonus Recharge","Recarga Bônus"
"Gift Recharge","Recarga Presente"
"SP Trans Recharge","Recarga SP Trans"
"Medications","Medicações"
"Authorizer","Autorizador"
"Authorization Code","Código Autorização"
"Institution","Instituição"
"Institution Name","Nome Instituição"
"Establishment","Estabelecimento"
"Network","Rede"
"Expiration","Expiração"
"Holder","Titular"
"Digits","Dígitos"
"Response","Resposta"
"Card Number","Número Cartão"
"Birth","Aniversário"
"Card Name","Nome Cartão"
"Magnetic","Magnético"
"EMV Contact","Contato EMV"
"Contactless Magnetic Emulation","Emulação Magnética Sem Contato"
"EMV Contactless","Sem Contato EMV"
"Success","Sucesso"
"Fallback Error","Erro de Fallback"
"Application Not Supported","Aplicação Não Suportada"
"Debit Bill","Conta Débito"
"Credit Bill","Conta Crédito"
"Collect","Coleta"
"Begin","Início"
"End","Fim"
"Paper","Papel"
"Created","Criado"
"Updated","Atualizado"
"Authorized","Autorizado"
"Authorized At","Autorizado Em"
"Canceled At","Cancelado Em"
"There was an error in the SITEF transaction. Please try again!","Ocorreu um erro na transação da SITEF. Por favor, tente novamente!"
"The payment was approved.","O pagamento foi aprovado."
"The payment was denied.","O pagamento foi negado."
"Paid Status","Status para Pago"

